email_usuario,puntaje,tiempo,fecha
juan.perez@email.com,9500,01:23:456,2026-01-15
maria.garcia@email.com,8750,01:25:123,2026-01-16
carlos.rdz@email.com,9200,01:24:789,2026-01-16
ana.lopez@email.com,8900,01:24:321,2026-01-17
pedro.mtz@email.com,9800,01:22:654,2026-01-17
laura.sanchez@email.com,8600,01:26:987,2026-01-18
roberto.hdz@email.com,9100,01:24:111,2026-01-19
sofia.ramirez@email.com,9350,01:23:888,2026-01-20
diego.torres@email.com,8450,01:27:222,2026-01-21
valentina.cruz@email.com,9650,01:22:999,2026-01-22
